raw_label,normalized_key,match_type,candidates,doc_label,heading,page_start,row
Abschreibungen/Wertminderungen,abschreibungenwertminderungen,unsupported_framework,,,2025 2024,5,3
EBITDA,ebitda,unsupported_framework,,,2025 2024,5,4
Sondereffekte,sondereffekte,unsupported_framework,,,2025 2024,5,5
Bereinigtes EBITDA,bereinigtesebitda,unsupported_framework,,,2025 2024,5,6
Regionen,regionen,unsupported_framework,,,3 Erläuterungen zur Konzern-Gesamtergebnisrechnung,31,2
Europa (ohne Deutschland),europaohnedeutschland,unsupported_framework,,,3 Erläuterungen zur Konzern-Gesamtergebnisrechnung,31,3
Deutschland,deutschland,unsupported_framework,,,3 Erläuterungen zur Konzern-Gesamtergebnisrechnung,31,4
Asien,asien,unsupported_framework,,,3 Erläuterungen zur Konzern-Gesamtergebnisrechnung,31,5
Nordamerika,nordamerika,unsupported_framework,,,3 Erläuterungen zur Konzern-Gesamtergebnisrechnung,31,6
Sonstige Regionen,sonstigeregionen,unsupported_framework,,,3 Erläuterungen zur Konzern-Gesamtergebnisrechnung,31,7
Gesamt,gesamt,unsupported_framework,,,3 Erläuterungen zur Konzern-Gesamtergebnisrechnung,31,8
Märkte,maerkte,unsupported_framework,,,3 Erläuterungen zur Konzern-Gesamtergebnisrechnung,31,9
Medizintechnik,medizintechnik,unsupported_framework,,,3 Erläuterungen zur Konzern-Gesamtergebnisrechnung,31,10
Industrieanwendungen,industrieanwendungen,unsupported_framework,,,3 Erläuterungen zur Konzern-Gesamtergebnisrechnung,31,11
Material- und Verpackungskosten,materialundverpackungskosten,unsupported_framework,,,3.2 Umsatzkosten,32,2
Personalaufwendungen,personalaufwendungen,unsupported_framework,,,3.2 Umsatzkosten,32,3
Energiekosten,energiekosten,unsupported_framework,,,3.2 Umsatzkosten,32,5
Übrige Umsatzkosten,uebrigeumsatzkosten,unsupported_framework,,,3.2 Umsatzkosten,32,6
Wertminderungen Geschäfts- oder Firmenwert,wertminderungengeschaeftsoderfirmenwert,unsupported_framework,,,3.5 Allgemeine Verwaltungskosten,32,2
